public_body_id,ident,title,campaign
85,,Entwurf eines Gesetzes zu dem Europäischen Übereinkommen vom 27. November 2008 über die Adoption von Kindern,referentenentwurfe
85,,"Entwurf eines Gesetzes zur Reform des Scheinvaterregresses, zur Rückbenennung und zur Änderung des Internationalen Familienrechtsverfahrensgesetzes",referentenentwurfe
85,,Drittes Gesetz zur Änderung des Gesetzes über die internationale Rechtshilfe in Strafsachen,referentenentwurfe
85,,Entwurf eines Gesetzes zu dem Strafrechtsübereinkommen des Europarates vom 27. Januar 1999 über Korruption und dem Zusatzprotokoll vom 15. Mai 2003 zum Strafrechtsübereinkommen des Europarates über Korruption,referentenentwurfe
85,,Entwurf eines Gesetzes zur Änderung des Strafgesetzbuches - Ausweitung des Maßregelrechts bei extremistischen Straftätern,referentenentwurfe
85,,Entwurf eines Gesetzes zur Änderung des Strafgesetzbuches - Stärkung des Schutzes von Vollstreckungsbeamten und Rettungskräften,referentenentwurfe
85,,Entwurf eines Gesetzes zur Änderung des Strafgesetzbuches – Umsetzung europäischer Vorgaben zum Sexualstrafrecht,referentenentwurfe
85,,Entwurf eines Gesetzes 3. Zusatzprotokoll EU-Auslieferungsübereinkommen,referentenentwurfe
85,,Entwurf eines Gesetzes zu dem Europäischen Übereinkommen vom 27. November 2008 über die Adoption von Kindern,referentenentwurfe
85,,Entwurf eines Gesetzes zu dem Zweiten Zusatzprotokoll vom 8. November 2001 zum Europäischen Übereinkommen vom 20. April 1959 über die Rechtshilfe in Strafsachen,referentenentwurfe
85,,"Entwurf eines Gesetzes zu dem Übereinkommen des Europarats vom 16. Mai 2005 über Geldwäsche sowie Ermittlung, Beschlagnahme und Einziehung von Erträgen aus Straftaten und über die Finanzierung des Terrorismus",referentenentwurfe
85,,Entwurf eines Gesetzes zu dem Übereinkommen vom 19. Februar 2013 über ein Einheitliches Patentgericht,referentenentwurfe
85,,Entwurf eines Gesetzes zum Vorschlag für einen Beschluss des Rates zur Festlegung eines Mehrjahresrahmens für die Agentur der Europäischen Union für Grundrechte für den Zeitraum 2018-2022,referentenentwurfe
85,,Entwurf eines Gesetzes zur Angleichung des Urheberrechts an die aktuellen Erfordernisse der Wissensgesellschaft (Urheberrechts-Wissensgesellschafts-Gesetz - UrhWissG),referentenentwurfe
85,,Entwurf eines Gesetzes zur Anpassung patenrechtlicher Vorschriften auf Grund der europäischen Patentreform,referentenentwurfe
85,,Entwurf eines Gesetzes zur Bekämpfung von Kinderehen,referentenentwurfe
85,,Entwurf eines Gesetzes zur Bekämpfung von Zahlungsverzug im Geschäftsverkehr,referentenentwurfe
85,,Entwurf eines Gesetzes zur Durchführung der Verordnung (EU) 2015/848 über Insolvenzverfahren ,referentenentwurfe
85,,Entwurf eines Gesetzes zur Durchführung der Verordnung Nr. 1215/2012 sowie zur Änderung sonstiger Vorschriften,referentenentwurfe
85,,Entwurf eines Gesetzes zur Durchführung des Haager Übereinkommens vom 30. Juni 2005 über Gerichtsstandsvereinbarungen,referentenentwurfe
85,,Entwurf eines Gesetzes zur Durchführung des Haager Übereinkommens vom 30. Juni 2005 über Gerichtsstandsvereinbarungen ,referentenentwurfe
85,,Entwurf eines Gesetzes zur Einführung der elektronischen Akte in Strafsachen und zur weiteren Förderung des elektronischen Rechtsverkehrs,referentenentwurfe
